07:28:56 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
07:28:56 [INFO] Found netvar: m_bIsValveDS => 0x7C
07:28:56 [INFO] Found netvar: m_bFreezePeriod => 0x20
07:28:56 [INFO] Found netvar: m_bBombPlanted => 0x9A5
07:28:56 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
07:28:56 [INFO] Found netvar: m_flSimulationTime => 0x268
07:28:56 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
07:28:56 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
07:28:56 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
07:28:56 [INFO] Found netvar: m_flNextAttack => 0x2D80
07:28:56 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
07:28:56 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
07:28:56 [INFO] Found netvar: m_bStartedArming => 0x3400
07:28:56 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
07:28:56 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
07:28:56 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
07:28:56 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
07:28:56 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
07:28:56 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
07:28:56 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
07:28:56 [INFO] Finished netvar scanning: 93/93 items successful
